Data,Loja,Status
"02-04-2018 12:14:04",EMER_1209_AFA1_RF1,0
"02-04-2018 12:14:38",EMER_1218_AFA1_CG1,0
"02-04-2018 12:14:38",EMER_1218_AFA1_RF1,0
"02-04-2018 12:14:39",EMER_1219_AFA1_CG1,0
"02-04-2018 12:14:39",EMER_1219_AFA1_RF1,0
"02-04-2018 12:14:40",EMER_1220_AFA1_CG1,0
"02-04-2018 12:14:40",EMER_1220_AFA1_RF1,0
"02-04-2018 12:14:57",EMER_1228_AFA1_CG1,0
"02-04-2018 12:14:57",EMER_1228_AFA1_RF1,0
"02-04-2018 12:14:57",EMER_1229_AFA1_CG1,0
"02-04-2018 12:14:58",EMER_1229_AFA1_RF1,0
"02-04-2018 12:14:58",EMER_1230_AFA1_CG1,0
"02-04-2018 12:14:58",EMER_1230_AFA1_RF1,0
"02-04-2018 12:14:59",EMER_1233_AFA1_CG1,0
"02-04-2018 12:14:59",EMER_1233_AFA1_RF1,0
"02-04-2018 12:15:02",EMER_1249_AFA1_CG1,0
"02-04-2018 12:15:02",EMER_1249_AFA1_RF1,0
"02-04-2018 12:15:02",EMER_1250_AFA1_CG1,0
"02-04-2018 12:15:02",EMER_1250_AFA1_RF1,0
"02-04-2018 12:15:03",EMER_1252_AFA1_CG1,0
"02-04-2018 12:15:03",EMER_1252_AFA1_RF1,0
"02-04-2018 12:15:03",EMER_1253_AFA1_CG1,0
"02-04-2018 12:15:03",EMER_1253_AFA1_RF1,0
"02-04-2018 12:15:04",EMER_1254_AFA1_CG1,0
"02-04-2018 12:15:04",EMER_1254_AFA1_RF1,0
"02-04-2018 12:15:05",EMER_1257_AFA1_CG1,0
"02-04-2018 12:15:05",EMER_1257_AFA1_RF1,0
"02-04-2018 12:15:09",EMER_1284_AFA1_CG1,0
"02-04-2018 12:15:09",EMER_1284_AFA1_RF1,1
"02-04-2018 12:15:26",EMER_1296_AFA1_CG1,0
"02-04-2018 12:15:26",EMER_1296_AFA1_RF1,0
"02-04-2018 12:15:44",EMER_1379_AFA1_CG1,1
"02-04-2018 12:15:44",EMER_1379_AFA1_RF1,1
"02-04-2018 12:15:45",EMER_1381_AFA1_CG1,0
"02-04-2018 12:15:45",EMER_1381_AFA1_RF1,0
"02-04-2018 12:15:46",EMER_1383_AFA1_CG1,1
"02-04-2018 12:15:46",EMER_1383_AFA1_RF1,1
"02-04-2018 12:16:02",EMER_1404_AFA1_CG1,0
"02-04-2018 12:16:02",EMER_1404_AFA1_RF1,0
"02-04-2018 12:16:03",EMER_1410_AFA1_CG1,0
"02-04-2018 12:16:03",EMER_1410_AFA1_RF1,0
"02-04-2018 12:05:57",EMER_1602_AFA1_CG1,0
"02-04-2018 12:05:57",EMER_1602_AFA1_RF1,0
"02-04-2018 12:06:12",EMER_1657_AFA1_CG1,0
"02-04-2018 12:06:12",EMER_1657_AFA1_RF1,1
"02-04-2018 12:06:14",EMER_1685_AFA1_CG1,0
"02-04-2018 12:06:14",EMER_1685_AFA1_RF1,0
"02-04-2018 12:06:14",EMER_1686_AFA1_CG1,0
"02-04-2018 12:06:14",EMER_1686_AFA1_RF1,0
"02-04-2018 12:06:15",EMER_1704_AFA1_CG1,1
"02-04-2018 12:06:15",EMER_1704_AFA1_RF1,0
"02-04-2018 12:06:23",EMER_1710_AFA1_CG1,0
"02-04-2018 12:06:23",EMER_1710_AFA1_RF1,0
"02-04-2018 12:06:44",EMER_1722_AFA1_CG1,0
"02-04-2018 12:06:44",EMER_1722_AFA1_RF1,0
"02-04-2018 12:06:52",EMER_1738_AFA1_CG1,1
"02-04-2018 12:06:52",EMER_1738_AFA1_RF1,1
"02-04-2018 12:08:01",EMER_1752_AFA1_CG1,1
"02-04-2018 12:08:01",EMER_1752_AFA1_RF1,1
"02-04-2018 12:08:45",EMER_1770_AFA1_CG1,0
"02-04-2018 12:08:45",EMER_1770_AFA1_RF1,0
"02-04-2018 12:10:23",EMER_1829_AFA1_CG1,1
"02-04-2018 12:10:23",EMER_1829_AFA1_RF1,1
"02-04-2018 12:10:24",EMER_1832_AFA1_CG1,1
"02-04-2018 12:10:24",EMER_1832_AFA1_RF1,0
"02-04-2018 12:10:24",EMER_1833_AFA1_CG1,0
"02-04-2018 12:10:24",EMER_1833_AFA1_RF1,0
"02-04-2018 12:11:19",EMER_1860_AFA1_CG1,0
"02-04-2018 12:11:19",EMER_1860_AFA1_RF1,1
"02-04-2018 12:12:36",EMER_2068_AFA1_CG1,0
"02-04-2018 12:12:36",EMER_2068_AFA1_RF1,0
"02-04-2018 12:12:57",EMER_2336_AFA1_CG1,1
"02-04-2018 12:12:57",EMER_2336_AFA1_RF1,1
"02-04-2018 12:13:13",EMER_2360_AFA1_CG1,0
